"REGIONNAME","SERVICEID","SERVICELONGNAME","SERVICETYPENAME","SUPPLIERID","SUPPLIERNAME","MEALPLANNAME","OPTIONID","OPTIONNAME","IS_DEFAULT","EXTRAID","EXTRANAME","OCCUPANCYTYPEID","OCCUPANCYTYPENAME","CHARGINGPOLICYID","CHARGINGPOLICYNAME","SEASONTYPEID","SEASONTYPENAME","SEASONSTARTDATE","SEASONENDDATE","ORGANISATIONSUPPLIERCONTRACTID","ORGANISATIONSUPPLIERCONTRACTNAME","CONTRACTDURATIONID","CONTRACTDURATIONNAME","CONTRACTDURATIONSTARTDATE","CONTRACTDURATIONENDDATE","CURRENCYISOCODE","WEEKDAYPRICES_EXISTS","PRICEDAYMONDAY","PRICEDAYTUESDAY","PRICEDAYWEDNESDAY","PRICEDAYTHURSDAY","PRICEDAYFRIDAY","PRICEDAYSATURDAY","PRICEDAYSUNDAY","BUYPRICE","MARGIN","SELLING",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","511","Extra bed 1","","","10","*Per Room Per Night","8","Season 03","Apr  1 2016 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","3750","29.0041","5282",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","512","Mandatory New Year Supplement (Dec 31st)","","","12","Per Person Per Day","7","Season 02","Dec 21 2014 12:00:00:000AM","Jan 10 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6000","29.0024","8451",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","512","Mandatory New Year Supplement (Dec 31st)","","","12","Per Person Per Day","7","Season 02","Feb  1 2015 12:00:00:000AM","Feb 28 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6000","29.0024","8451",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","512","Mandatory New Year Supplement (Dec 31st)","","","12","Per Person Per Day","7","Season 02","Dec 21 2015 12:00:00:000AM","Jan 10 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6000","34.0006","9091",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","512","Mandatory New Year Supplement (Dec 31st)","","","12","Per Person Per Day","7","Season 02","Feb  1 2016 12:00:00:000AM","Feb 29 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6000","34.0006","9091",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","512","Mandatory New Year Supplement (Dec 31st)","","","12","Per Person Per Day","7","Season 02","Dec 21 2016 12:00:00:000AM","Jan 10 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6227","28.9965","8770",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","512","Mandatory New Year Supplement (Dec 31st)","","","12","Per Person Per Day","7","Season 02","Feb  1 2017 12:00:00:000AM","Feb 28 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6227","28.9965","8770",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","3570","Mandatory New Year Supplement (Dec 31st)-Child","","","12","Per Person Per Day","7","Season 02","Dec 21 2014 12:00:00:000AM","Jan 10 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6000","29.0024","8451",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","3570","Mandatory New Year Supplement (Dec 31st)-Child","","","12","Per Person Per Day","7","Season 02","Feb  1 2015 12:00:00:000AM","Feb 28 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6000","29.0024","8451",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","3570","Mandatory New Year Supplement (Dec 31st)-Child","","","12","Per Person Per Day","7","Season 02","Dec 21 2015 12:00:00:000AM","Jan 10 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6000","34.0006","9091",
