"REGIONNAME","SERVICEID","SERVICELONGNAME","SERVICETYPENAME","SUPPLIERID","SUPPLIERNAME","MEALPLANNAME","OPTIONID","OPTIONNAME","IS_DEFAULT","EXTRAID","EXTRANAME","OCCUPANCYTYPEID","OCCUPANCYTYPENAME","CHARGINGPOLICYID","CHARGINGPOLICYNAME","SEASONTYPEID","SEASONTYPENAME","SEASONSTARTDATE","SEASONENDDATE","ORGANISATIONSUPPLIERCONTRACTID","ORGANISATIONSUPPLIERCONTRACTNAME","CONTRACTDURATIONID","CONTRACTDURATIONNAME","CONTRACTDURATIONSTARTDATE","CONTRACTDURATIONENDDATE","CURRENCYISOCODE","WEEKDAYPRICES_EXISTS","PRICEDAYMONDAY","PRICEDAYTUESDAY","PRICEDAYWEDNESDAY","PRICEDAYTHURSDAY","PRICEDAYFRIDAY","PRICEDAYSATURDAY","PRICEDAYSUNDAY","BUYPRICE","MARGIN","SELLING",
"Kanchanaburi","28436","Float House River Kwai Resort","Accommodation","840","Exo Travel","","","","","9610","Extra bed 1","","","10","*Per Room Per Night","6","Season 01","Nov  1 2015 12:00:00:000AM","Dec 30 2015 12:00:00:000AM","32901","Float House (1 Nov 15 - 31 Oct 16)","33107","Float House (1 Nov 15 - 31 Oct 16)","Nov  1 2015 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","THB","NO","1","1","1","1","1","1","1","2290","26.0096","3095",
"Kanchanaburi","28436","Float House River Kwai Resort","Accommodation","840","Exo Travel","","","","","9610","Extra bed 1","","","10","*Per Room Per Night","6","Season 01","Jan  1 2016 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","32901","Float House (1 Nov 15 - 31 Oct 16)","33107","Float House (1 Nov 15 - 31 Oct 16)","Nov  1 2015 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","THB","NO","1","1","1","1","1","1","1","2290","26.0096","3095",
"Kanchanaburi","28436","Float House River Kwai Resort","Accommodation","840","Exo Travel","","","","","9610","Extra bed 1","","","10","*Per Room Per Night","6","Season 01","Nov  1 2016 12:00:00:000AM","Dec 30 2016 12:00:00:000AM","32902","Pro-Float House (1 Nov 16 - 31 Oct 17)","33108","Pro-Float House (1 Nov 16 - 31 Oct 17)","Nov  1 2016 12:00:00:000AM","Oct 31 2017 12:00:00:000AM","THB","NO","1","1","1","1","1","1","1","2450","26.0042","3311",
"Kanchanaburi","28436","Float House River Kwai Resort","Accommodation","840","Exo Travel","","","","","9610","Extra bed 1","","","10","*Per Room Per Night","6","Season 01","Jan  1 2017 12:00:00:000AM","Oct 31 2017 12:00:00:000AM","32902","Pro-Float House (1 Nov 16 - 31 Oct 17)","33108","Pro-Float House (1 Nov 16 - 31 Oct 17)","Nov  1 2016 12:00:00:000AM","Oct 31 2017 12:00:00:000AM","THB","NO","1","1","1","1","1","1","1","2450","26.0042","3311",
"Kanchanaburi","28436","Float House River Kwai Resort","Accommodation","840","Exo Travel","","","","","9610","Extra bed 1","","","10","*Per Room Per Night","7","Season 02","Dec 31 2015 12:00:00:000AM","Dec 31 2015 12:00:00:000AM","32901","Float House (1 Nov 15 - 31 Oct 16)","33107","Float House (1 Nov 15 - 31 Oct 16)","Nov  1 2015 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","THB","NO","1","1","1","1","1","1","1","3250","26.0018","4392",
"Kanchanaburi","28436","Float House River Kwai Resort","Accommodation","840","Exo Travel","","","","","9610","Extra bed 1","","","10","*Per Room Per Night","7","Season 02","Dec 31 2016 12:00:00:000AM","Dec 31 2016 12:00:00:000AM","32902","Pro-Float House (1 Nov 16 - 31 Oct 17)","33108","Pro-Float House (1 Nov 16 - 31 Oct 17)","Nov  1 2016 12:00:00:000AM","Oct 31 2017 12:00:00:000AM","THB","NO","1","1","1","1","1","1","1","3500","26.0042","4730",
"Kanchanaburi","28436","Float House River Kwai Resort","Accommodation","840","Exo Travel","","71053","Floating Villa (Double+Extra Adult)","NO","","","4","Triple","10","*Per Room Per Night","6","Season 01","Nov  1 2015 12:00:00:000AM","Dec 30 2015 12:00:00:000AM","32901","Float House (1 Nov 15 - 31 Oct 16)","33107","Float House (1 Nov 15 - 31 Oct 16)","Nov  1 2015 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","THB","NO","1","1","1","1","1","1","1","4580","26.0096","6190",
"Kanchanaburi","28436","Float House River Kwai Resort","Accommodation","840","Exo Travel","","71053","Floating Villa (Double+Extra Adult)","NO","","","4","Triple","10","*Per Room Per Night","6","Season 01","Jan  1 2016 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","32901","Float House (1 Nov 15 - 31 Oct 16)","33107","Float House (1 Nov 15 - 31 Oct 16)","Nov  1 2015 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","THB","NO","1","1","1","1","1","1","1","4580","26.0096","6190",
"Kanchanaburi","28436","Float House River Kwai Resort","Accommodation","840","Exo Travel","","71053","Floating Villa (Double+Extra Adult)","NO","","","4","Triple","10","*Per Room Per Night","6","Season 01","Nov  1 2016 12:00:00:000AM","Dec 30 2016 12:00:00:000AM","32902","Pro-Float House (1 Nov 16 - 31 Oct 17)","33108","Pro-Float House (1 Nov 16 - 31 Oct 17)","Nov  1 2016 12:00:00:000AM","Oct 31 2017 12:00:00:000AM","THB","NO","1","1","1","1","1","1","1","4901","26.0003","6623",
"Kanchanaburi","28436","Float House River Kwai Resort","Accommodation","840","Exo Travel","","71053","Floating Villa (Double+Extra Adult)","NO","","","4","Triple","10","*Per Room Per Night","6","Season 01","Jan  1 2017 12:00:00:000AM","Oct 31 2017 12:00:00:000AM","32902","Pro-Float House (1 Nov 16 - 31 Oct 17)","33108","Pro-Float House (1 Nov 16 - 31 Oct 17)","Nov  1 2016 12:00:00:000AM","Oct 31 2017 12:00:00:000AM","THB","NO","1","1","1","1","1","1","1","4901","26.0003","6623",
