"Destination","Service Type","SERVICEID","From Rates","Country","Region","Supplier Name","Service Name","Status","Contract"
"Africa","Accommodation",18861,"No Rates","Uganda","Queen Elisabeth","Whistling Duck","Mweya Safari Lodge","Active","Yes"
"Africa","Accommodation",18932,"No Rates","Zimbabwe","Mana Pools","Safari Destinations","Mana Pools Canoeing Bush Camp","Active","Yes"
"Africa","Accommodation",19384,"No Rates","Namibia","Damaraland - Twyfelfontein","Namibia Tracks & Trails","Twyfelfontein Lodge","Active","Yes"
"Africa","Accommodation",25607,"No Rates","Africa","Africa","Africa Generic Supplier","Self Organised Africa","Active","Yes"
"Africa","Accommodation",26397,"No Rates","Tanzania","Mt. Kilimanjaro","Summits Africa","Kili Climb: Machame 7 Days","Active","Yes"
"Africa","Accommodation",26467,"No Rates","Tanzania","Mt. Kilimanjaro","Summits Africa","Kili Climb: Lemosho 8 Days","Active","Yes"
"Africa","Accommodation",26481,"No Rates","Tanzania","Mt. Kilimanjaro","Summits Africa","Kili Climb: Rongai 7 Days","Active","Yes"
"Africa","Accommodation",27441,"No Rates","Kenya","Nairobi","Enchanting Africa","Self Organised","Active","Yes"
"Africa","Accommodation",27735,"No Rates","Seychelles","Bird Island","MFG Reisen","Bird Island Resort","Active","Yes"
"Africa","Accommodation",27741,"No Rates","Seychelles","Denis Island","MFG Reisen","Denis Island Resort","Active","Yes"
"Africa","Accommodation",27882,"No Rates","Mauritius","Mauritius","MFG Reisen","20 Degres Sud","Active","Yes"
"Africa","Accommodation",29939,"No Rates","Rwanda","Volcanos","Mapendano Voyages","Gorilla Volcanoes Hotel","Active","Yes"
"Africa","Accommodation",30666,"No Rates","South Africa","Blue Train (Pretoria - Cape Town)","Tour D'Afrique","Blue Train (Pretoria - Cape Town)","Active","Yes"
"Africa","Accommodation",30766,"No Rates","South Africa","Kruger - Central","Tour D'Afrique","Kambaku Safari Lodge","Active","Yes"
"Africa","Accommodation",30792,"No Rates","South Africa","Waterberg","Tour D'Afrique","Entabeni Ravineside Lodge","Active","Yes"
"Africa","Accommodation",31692,"No Rates","South Africa","Battlefields","Tour D'Afrique","Fugitives' Drift Lodge","Active","Yes"
"Africa","Accommodation",31700,"No Rates","South Africa","Eastern Cape Game Parks","Tour D'Afrique","Cosmos Cuisine Guest House","Active","Yes"
"Africa","Accommodation",31701,"No Rates","South Africa","Eastern Cape Game Parks","Tour D'Afrique","Gorah Elephant Camp","Active","Yes"
"Africa","Accommodation",31702,"No Rates","South Africa","Eastern Cape Game Parks","Tour D'Afrique","Hlosi Game Lodge","Active","Yes"
"Africa","Accommodation",31703,"No Rates","South Africa","Eastern Cape Game Parks","Tour D'Afrique","Long Lee Manor","Active","Yes"
"Africa","Accommodation",31739,"No Rates","South Africa","Winelands","Tour D'Afrique","L'Avenir Wine Estate Country House","Active","Yes"
"Africa","Accommodation",32394,"No Rates","Botswana","Savuti & Linyanti","Safari Destinations","Savute Safari Lodge","Active","Yes"
"Africa","Accommodation",34098,"No Rates","Tanzania","Serengeti (Southern)","Nomad Tanzania","Serengeti Safari Camp S","Active","Yes"
"Africa","Accommodation",34388,"No Rates","Ethiopia","Addis Ababa","Jacaranda Tours","Hilton Addis Ababa","Active","Yes"
"Africa","Accommodation",34390,"No Rates","Ethiopia","Jinka","Jacaranda Tours","Eco Omo lodge","Active","Yes"
"Africa","Accommodation",34391,"No Rates","Ethiopia","Turmi","Jacaranda Tours","Buska lodge","Active","Yes"
"Africa","Accommodation",34392,"No Rates","Ethiopia","Konso","Jacaranda Tours","Kanta lodge","Active","Yes"
"Africa","Accommodation",35280,"No Rates","Tanzania","Selous","Beho Beho","Beho Beho","Active","Yes"
"Africa","Accommodation",35491,"No Rates","South Africa","Little Karoo","Tour D'Afrique","La Plume Guest House","Active","Yes"
"Africa","Accommodation",35613,"No Rates","South Africa","Port Elizabeth","Tour D'Afrique","Courtyard Port Elizabeth","Active","Yes"
"Africa","Accommodation",35624,"No Rates","Zambia","South Luangwa","Zambian Ground Handlers","Kaingo Camp","Active","Yes"
"Africa","Accommodation",35643,"No Rates","Zambia","South Luangwa","Zambian Ground Handlers","Chindeni Bush Camp","Active","Yes"
"Africa","Accommodation",35782,"No Rates","South Africa","Madikwe","Tour D'Afrique","Summerfields Rose Retreat","Active","Yes"
"Africa","Accommodation",35785,"No Rates","South Africa","Kruger - South","Tour D'Afrique","Rhino Post Safari Lodge","Active","Yes"
"Africa","Accommodation",35788,"No Rates","South Africa","Kruger - South","Tour D'Afrique","Lion Sands Narina Lodge","Active","Yes"
"Africa","Accommodation",35791,"No Rates","Kenya","Masai Mara","Asilia Africa","Mara Houses- Acacia House","Active","Yes"
"Africa","Accommodation",35803,"No Rates","South Africa","Kruger - Central","Tour D'Afrique","Thornybush Waterside Lodge","Active","Yes"
"Africa","Accommodation",35813,"No Rates","South Africa","Kruger - Central","Tour D'Afrique","Simbavati Hilltop Lodge","Active","Yes"
"Africa","Accommodation",35851,"No Rates","South Africa","Cape Town","Tour D'Afrique","Winchester Mansions","Active","Yes"
"Africa","Accommodation",35854,"No Rates","South Africa","Garden Route","Tour D'Afrique","Robberg Beach Lodge","Active","Yes"
"Africa","Accommodation",35858,"No Rates","South Africa","Madikwe","Tour D'Afrique","Jamala Madikwe Royal Safari Lodge","Active","Yes"
"Africa","Accommodation",35859,"No Rates","South Africa","Blyde River Canyon","Tour D'Afrique","Hannah Game Lodge","Active","Yes"
"Africa","Accommodation",35861,"No Rates","South Africa","Kruger - South","Tour D'Afrique","Protea Hotel Kruger Gate","Active","Yes"
"Africa","Accommodation",36480,"No Rates","Namibia","Okonjima","Namibia Tracks & Trails","Okonjima's Grand African Villa","Active","Yes"
"Africa","Accommodation",36482,"No Rates","Namibia","Namib Rand Reserve","Namibia Tracks & Trails","Wolwedans Dunes Camp","Active","Yes"
"Africa","Accommodation",36495,"No Rates","Namibia","Fish River Canyon","Namibia Tracks & Trails","Cañon Roadhouse","Active","Yes"
"Africa","Accommodation",36944,"No Rates","Kenya","Laikipia -Walking Safaris","Karisia","Mobile Bush Camp (Camel Trekking)","Active","Yes"
"Africa","Accommodation",37331,"No Rates","South Africa","Blue Train (Cape Town - Pretoria)","Tour D'Afrique","Blue Train (Cape Town - Pretoria)","Active","Yes"
"Africa","Accommodation",39682,"No Rates","Uganda","Jinja & Nile","Whistling Duck","Wildwaters Lodge","Active","Yes"
"Africa","Accommodation",44342,"No Rates","Botswana","Chobe National Park","Safari Destinations","Bushways Mobile Bush Camp","Active","Yes"
"Africa","Accommodation",44428,"No Rates","Botswana","Okavango Delta","Safari Destinations","Bushways Mobile Bush Camp","Active","Yes"
"Africa","Accommodation",44434,"No Rates","Botswana","Savuti & Linyanti","Safari Destinations","Bushways Mobile Bush Camp","Active","Yes"
"Africa","Accommodation",44522,"No Rates","Namibia","Caprivi East","Namibia Tracks & Trails","Namushasha River Lodge","Active","Yes"
"Africa","Accommodation",44523,"No Rates","Namibia","Caprivi East","Namibia Tracks & Trails","Lianshulu Lodge","Active","Yes"
"Africa","Accommodation",45216,"No Rates","South Africa","Cape Town","Tour D'Afrique","Cloud Nine Boutique Hotel","Active","Yes"
"Africa","Accommodation",45244,"No Rates","South Africa","Durban","Tour D'Afrique","Canelands Beach Club","Active","Yes"
"Africa","Accommodation",18332,"No Rates","Kenya","Aberdares","Fairmont Hotels","The Ark","Inactive","Yes"
"Africa","Accommodation",18336,"No Rates","Rwanda","Akagera","Enchanting Africa","Akagera Game Lodge","Inactive","Yes"
