Service Currency,Guest Currency,Exchange Rate in TS
ARS,EUR,0.070600
ARS,USD,0.077200
ARS,GBP,0.052200
ARS,AUD,0.106900
AUD,USD,0.751880
AUD,INR,47.619000
AUD,ZAR,10.526320
AUD,THB,26.315789
AUD,ARS,9.354537
AUD,NAD,10.526316
CAD,INR,47.846890
CAD,USD,0.757576
CAD,EUR,0.671100
CAD,ZAR,#N/A
CAD,THB,26.666667
EUR,CAD,1.490000
EUR,USD,1.090000
EUR,INR,69.979000
EUR,ZAR,15.384600
EUR,THB,38.461500
EUR,ARS,14.164306
EUR,NAD,15.384615
GBP,USD,1.431639
GBP,INR,96.153800
GBP,ZAR,20.833300
GBP,THB,50.505051
GBP,ARS,19.157088
GBP,NAD,20.833330
INR,EUR,0.014290
INR,USD,0.017000
INR,GBP,0.010400
INR,AUD,0.021000
INR,CAD,0.020900
KES,USD,0.010000
NAD,EUR,0.065000
NAD,USD,0.075000
NAD,GBP,0.048000
NAD,AUD,0.095000
THB,EUR,0.026000
THB,USD,0.029500
THB,GBP,0.019800
THB,AUD,0.038000
THB,CAD,0.037500
USD,EUR,0.917400
USD,GBP,0.698500
USD,AUD,1.330000
USD,CAD,1.320000
USD,INR,61.900900
USD,ZAR,13.333330
USD,THB,33.898300
USD,ARS,12.953368
USD,NAD,13.333330
USD,KES,100.000000
ZAR,EUR,0.065000
ZAR,USD,0.075000
ZAR,GBP,0.048000
ZAR,AUD,0.095000
ZAR,CAD,0.093700
