ServiceName,OptionName,REGIONNAME,ServiceTSID,OptionTSID,SERVICEOPTIONSTATUSNAME,ServiceType
Nagpur - Kolkata,Economy Class Flight - (LCC),Nagpur,43626,70357,Unavailable,Flight
Pondicherry - Bangalore,Economy Class Flight - (LCC),Pondicherry,39005,59981,Unavailable,Flight
Bangalore - Pondicherry,Economy Class Flight - (LCC),Bangalore,39004,59978,Unavailable,Flight
Mangalore - Bangalore,Economy Class Flight - (LCC),Mangalore,31818,50437,Unavailable,Flight
Guwahati - Delhi,Economy Class Flight - (LCC),Guwahati,2633,47709,Unavailable,Flight
Hyderabad - Mumbai - Trivandrum,Economy Class Flight - (LCC),Hyderabad,2563,47708,Unavailable,Flight
Kolkata - Bhubaneswar,Economy Class Flight - (LCC),Kolkata,2542,47317,Unavailable,Flight
Kolkata - Patna,Economy Class Flight - (LCC),Kolkata,2539,47312,Unavailable,Flight
Mumbai - Hyderabad,Economy Class Flight - (LCC),Mumbai,2189,47311,Unavailable,Flight
Mumbai - Indore,Economy Class Flight - (LCC),Mumbai,2191,47310,Unavailable,Flight
Kolkata - Ahmedabad - Pune,Economy Class Flight - (LCC),Kolkata,2537,47309,Unavailable,Flight
Mumbai - Jaipur,Economy Class Flight - (LCC),Mumbai,2193,47308,Unavailable,Flight
Mumbai - Kolkata - Guwahati,Economy Class Flight - (LCC),Mumbai,2184,47307,Unavailable,Flight
Mumbai - Delhi,Economy Class Flight - (LCC),Mumbai,2182,47304,Unavailable,Flight
Mumbai - Coimbatore,Economy Class Flight - (LCC),Mumbai,2181,47303,Unavailable,Flight
Kolkata - Mumbai,Economy Class Flight - (LCC),Kolkata,2532,47297,Unavailable,Flight
Kolkata - Hyderabad,Economy Class Flight - (LCC),Kolkata,2529,47294,Unavailable,Flight
Kolkata - Guwahati,Economy Class Flight - (LCC),Kolkata,2527,47293,Unavailable,Flight
Mumbai - Bangalore,Economy Class Flight - (LCC),Mumbai,2165,47283,Unavailable,Flight
Kolkata - Delhi,Economy Class Flight - (LCC),Kolkata,2524,47282,Unavailable,Flight
Kolkata - Bangalore,Economy Class Flight - (LCC),Kolkata,2509,47279,Unavailable,Flight
Madurai - Mumbai/Chennai - Delhi,Economy Class Flight - (LCC),Madurai,8629,47276,Unavailable,Flight
Madurai - Bangalore,Economy Class Flight - (LCC),Madurai,2775,47275,Unavailable,Flight
Jabalpur - Delhi,Economy Class Flight - (LCC),Jabalpur,4429,47270,Unavailable,Flight
Port Blair - Chennai,Economy Class Flight - (LCC),Port Blair,2638,47269,Unavailable,Flight
Port Blair - Kolkata - Delhi,Economy Class Flight - (LCC),Port Blair,2631,47268,Unavailable,Flight
Port Blair - Chennai - Bangalore,Economy Class Flight - (LCC),Port Blair,2627,47267,Unavailable,Flight
Port Blair - Kolkata,Economy Class Flight - (LCC),Port Blair,2622,47266,Unavailable,Flight
Dehradun - Lucknow,Economy Class Flight - (LCC),Dehradun,12366,47265,Unavailable,Flight
Varanasi - Delhi/Mumbai - Chennai,Economy Class Flight - (LCC),Varanasi,4760,47263,Unavailable,Flight
Madurai - Chennai - Cochin,Economy Class Flight - (LCC),Madurai,2770,47260,Unavailable,Flight
Varanasi - Kathmandu,Economy Class Flight - (LCC),Varanasi,2459,47259,Unavailable,Flight
Varanasi - Mumbai/Delhi - Bangalore,Economy Class Flight - (LCC),Varanasi,2452,47257,Unavailable,Flight
Madurai - Chennai - Goa,Economy Class Flight - (LCC),Madurai,2768,47256,Unavailable,Flight
Varanasi - Mumbai,Economy Class Flight - (LCC),Varanasi,2449,47255,Unavailable,Flight
Vadodra - Delhi,Economy Class Flight - (LCC),Vadodara,2843,47254,Unavailable,Flight
Vadodra - Mumbai,Economy Class Flight - (LCC),Vadodara,2842,47253,Unavailable,Flight
Udaipur - Mumbai - Hyderabad,Economy Class Flight - (LCC),Udaipur,2427,47249,Unavailable,Flight
Udaipur - Chennai,Economy Class Flight - (LCC),Udaipur,2424,47248,Unavailable,Flight
Udaipur - Bangalore,Economy Class Flight - (LCC),Udaipur,2417,47241,Unavailable,Flight
Trivandrum - Hyderabad,Economy Class Flight - (LCC),Trivandrum,2152,47239,Unavailable,Flight
Trivandrum - Delhi,Economy Class Flight - (LCC),Trivandrum,2147,47238,Unavailable,Flight
Trivandrum - Chennai,Economy Class Flight - (LCC),Trivandrum,2140,47237,Unavailable,Flight
Trivandrum - Cochin,Economy Class Flight - (LCC),Trivandrum,2136,47236,Unavailable,Flight
Trivandrum - Bangalore,Economy Class Flight - (LCC),Trivandrum,2103,47235,Unavailable,Flight
Pune - Delhi,Economy Class Flight - (LCC),Pune,2301,47231,Unavailable,Flight
Pune - Delhi - Udaipur,Economy Class Flight - (LCC),Pune,2299,47230,Unavailable,Flight
Pune - Chennai,Economy Class Flight - (LCC),Pune,2296,47229,Unavailable,Flight
Pune - Bangalore,Economy Class Flight - (LCC),Pune,2294,47228,Unavailable,Flight
Nagpur - Indore,Economy Class Flight - (LCC),Nagpur,14490,47217,Unavailable,Flight
Nagpur - Bangalore,Economy Class Flight - (LCC),Nagpur,7042,47216,Unavailable,Flight
Nagpur - Chennai - Cochin,Economy Class Flight - (LCC),Nagpur,2287,47215,Unavailable,Flight
Nagpur - Delhi,Economy Class Flight - (LCC),Nagpur,2263,47201,Unavailable,Flight
Mumbai - Male,Economy Class Flight - (LCC),Mumbai,14953,47198,Unavailable,Flight
Mumbai - Amritsar,Economy Class Flight - (LCC),Mumbai,14486,47195,Unavailable,Flight
Mumbai - Chandigarh,Economy Class Flight - (LCC),Mumbai,14480,47193,Unavailable,Flight
Mumbai - Bangalore/Cochin - Male,Economy Class Flight - (LCC),Mumbai,2852,47178,Unavailable,Flight
