"SERVICEID","service_name","SERVICEOPTIONINSERVICEID","option_name","buy_price","sell_price","region_name","region_ts_id","service_type"
5205,"Bariloche - Mendoza",11264,"Business Class Flight",0,0,"Bariloche",6340,"Flight"
5205,"Bariloche - Mendoza",11265,"Regular Flight",0,0,"Bariloche",6340,"Flight"
5217,"Buenos Aires - Lima - Cusco",11268,"Business Class Flight",0,0,"Buenos Aires",6342,"Flight"
5234,"Santiago de Chile - Lima",11306,"Business Class Flight",0,0,"Santiago de Chile",6398,"Flight"
5236,"Santiago de Chile - Buenos Aires - Córdoba",11310,"Business Class Flight",0,0,"Santiago de Chile",6398,"Flight"
5236,"Santiago de Chile - Buenos Aires - Córdoba",11311,"Regular Flight",0,0,"Santiago de Chile",6398,"Flight"
5237,"Santiago de Chile - Rio de Janeiro",11312,"Business Class Flight",0,0,"Santiago de Chile",6398,"Flight"
5238,"Santiago de Chile - Temuco",11314,"Business Class Flight",0,0,"Santiago de Chile",6398,"Flight"
5239,"Santiago de Chile - Lima - Cusco",11316,"Business Class Flight",0,0,"Santiago de Chile",6398,"Flight"
5241,"Santiago de Chile - Buenos Aires - Bariloche",11319,"Business Class Flight",0,0,"Santiago de Chile",6398,"Flight"
5246,"Santiago de Chile - Rapa Nui",11322,"Business Class Flight",0,0,"Santiago de Chile",6398,"Flight"
5248,"Santiago de Chile - Buenos Aires",11324,"Business Class Flight",0,0,"Santiago de Chile",6398,"Flight"
5250,"Santiago de Chile - Punta Arenas",11326,"Business Class Flight",0,0,"Santiago de Chile",6398,"Flight"
5253,"Coyhaique - Santiago de Chile",11329,"Business Class Flight",0,0,"Coyhaique",6377,"Flight"
5314,"Buenos Aires - Santiago de Chile",11430,"Business Class Flight",0,0,"Buenos Aires",6342,"Flight"
5318,"Buenos Aires - Lima",11438,"Business Class Flight",0,0,"Buenos Aires",6342,"Flight"
5321,"Buenos Aires - Rio de Janeiro",11445,"Business Class Flight",0,0,"Buenos Aires",6342,"Flight"
5333,"Córdoba - Santiago de Chile - Lima",11468,"Business Class Flight",0,0,"Córdoba",6348,"Flight"
5333,"Córdoba - Santiago de Chile - Lima",11469,"Regular Flight",0,0,"Córdoba",6348,"Flight"
5335,"Córdoba - Santiago de Chile",11472,"Business Class Flight",0,0,"Córdoba",6348,"Flight"
5338,"Cusco - Lima - Buenos Aires",11478,"Business Class Flight",0,0,"Cusco",6405,"Flight"
5357,"Lima - Buenos Aires - Mendoza",11517,"Regular Flight",0,0,"Lima",6406,"Flight"
5357,"Lima - Buenos Aires - Mendoza",11516,"Business Class Flight",0,0,"Lima",6406,"Flight"
5358,"Lima - Santiago de Chile",11518,"Business Class Flight",0,0,"Lima",6406,"Flight"
5359,"Lima - Rio de Janeiro",11520,"Business Class Flight",0,0,"Lima",6406,"Flight"
5361,"Lima - Buenos Aires - Córdoba",11524,"Business Class Flight",0,0,"Lima",6406,"Flight"
5361,"Lima - Buenos Aires - Córdoba",11525,"Regular Flight",0,0,"Lima",6406,"Flight"
5370,"Mendoza - Bariloche",11542,"Business Class Flight",0,0,"Mendoza",6354,"Flight"
5370,"Mendoza - Bariloche",11543,"Regular Flight",0,0,"Mendoza",6354,"Flight"
5371,"Mendoza - Santiago de Chile - Lima",11544,"Business Class Flight",0,0,"Mendoza",6354,"Flight"
5372,"Mendoza - Santiago de Chile",11546,"Business Class Flight",0,0,"Mendoza",6354,"Flight"
5380,"Puerto Iguazú - Mendoza",11556,"Business Class Flight",0,0,"Puerto Iguazú",6357,"Flight"
5382,"Puerto Iguazú - Buenos Aires - Santiago de Chile",11560,"Business Class Flight",0,0,"Puerto Iguazú",6357,"Flight"
5387,"Puerto Iguazú - Rincón del Socorro (Private)",11570,"Business Class Flight",0,0,"Puerto Iguazú",6357,"Flight"
5394,"Puerto Montt - Coyhaique",11581,"Business Class Flight",0,0,"Puerto Montt",6387,"Flight"
5395,"Puerto Montt - Santiago de Chile - Calama",11582,"Business Class Flight",0,0,"Puerto Montt",6387,"Flight"
5396,"Puerto Montt - Punta Arenas",11584,"Business Class Flight",0,0,"Puerto Montt",6387,"Flight"
