"REGIONNAME","SERVICEID","SERVICELONGNAME","SERVICETYPENAME","SUPPLIERID","SUPPLIERNAME","MEALPLANNAME","OPTIONID","OPTIONNAME","IS_DEFAULT","EXTRAID","EXTRANAME","OCCUPANCYTYPEID","OCCUPANCYTYPENAME","CHARGINGPOLICYID","CHARGINGPOLICYNAME","SEASONTYPEID","SEASONTYPENAME","SEASONSTARTDATE","SEASONENDDATE","ORGANISATIONSUPPLIERCONTRACTID","ORGANISATIONSUPPLIERCONTRACTNAME","CONTRACTDURATIONID","CONTRACTDURATIONNAME","CONTRACTDURATIONSTARTDATE","CONTRACTDURATIONENDDATE","CURRENCYISOCODE","WEEKDAYPRICES_EXISTS","PRICEDAYMONDAY","PRICEDAYTUESDAY","PRICEDAYWEDNESDAY","PRICEDAYTHURSDAY","PRICEDAYFRIDAY","PRICEDAYSATURDAY","PRICEDAYSUNDAY","PRICEBANDMIN","PRICEBANDMAX","BUYPRICE","MARGIN","SELLING",
"Ajabgarh","3918","1.5h-AMAN-Neelkanth Trek","Activity","11","Amanresorts","","23862","Activity (1-2ppl)","NO","","","","","13","Per Unit Per Day","5","All Year","May  1 2014 12:00:00:000AM","Apr 30 2015 12:00:00:000AM","10731","Pro-Aman Act (1st May 14 - 30th Apr 15)","10811","Pro-Aman Act (1st May 14 - 30th Apr 15)","May  1 2014 12:00:00:000AM","Apr 30 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","1","2","6350","29.0026","8944",
"Ajabgarh","3918","1.5h-AMAN-Neelkanth Trek","Activity","11","Amanresorts","","23862","Activity (1-2ppl)","NO","","","","","13","Per Unit Per Day","5","All Year","May  1 2015 12:00:00:000AM","Dec 31 2020 12:00:00:000AM","11371","Est Pro-Aman Act (1st May15 - 31st Dec20)","11451","Est Pro-Aman Act (1st May15 - 31st Dec20)","May  1 2015 12:00:00:000AM","Dec 31 2020 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","1","2","6668","29.0034","9392",
"Ajabgarh","13729","AMAN-Bhangarh","Activity","11","Amanresorts","","23883","Activity (1-2ppl)","NO","","","","","13","Per Unit Per Day","5","All Year","May  1 2014 12:00:00:000AM","Apr 30 2015 12:00:00:000AM","10731","Pro-Aman Act (1st May 14 - 30th Apr 15)","10811","Pro-Aman Act (1st May 14 - 30th Apr 15)","May  1 2014 12:00:00:000AM","Apr 30 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","1","2","7619","29","10731",
"Ajabgarh","13729","AMAN-Bhangarh","Activity","11","Amanresorts","","23883","Activity (1-2ppl)","NO","","","","","13","Per Unit Per Day","5","All Year","May  1 2015 12:00:00:000AM","Dec 31 2020 12:00:00:000AM","11371","Est Pro-Aman Act (1st May15 - 31st Dec20)","11451","Est Pro-Aman Act (1st May15 - 31st Dec20)","May  1 2015 12:00:00:000AM","Dec 31 2020 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","1","2","8381","29.0046","11805",
"Alleppey","1896","Drive from Alleppey to Cochin (65 km, 1.5 hrs)","Drive","4","Generic Supplier","","5794","Drive","NO","","","","","13","Per Unit Per Day","6","Season 01","Jan  1 2013 12:00:00:000AM","Dec 31 2016 12:00:00:000AM","12121","Alleppey Drive (1st Jan 2013-31st Dec 2016)","12207","Alleppey Drive (1st Jan 2013-31st Dec 2016)","Jan  1 2013 12:00:00:000AM","Dec 31 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","1","4","2250","29.022","3170",
"Alleppey","1896","Drive from Alleppey to Cochin (65 km, 1.5 hrs)","Drive","4","Generic Supplier","","5794","Drive","NO","","","","","13","Per Unit Per Day","6","Season 01","Jan  1 2013 12:00:00:000AM","Dec 31 2016 12:00:00:000AM","12121","Alleppey Drive (1st Jan 2013-31st Dec 2016)","12207","Alleppey Drive (1st Jan 2013-31st Dec 2016)","Jan  1 2013 12:00:00:000AM","Dec 31 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","5","9","2900","29.0085","4085",
"Alleppey","1896","Drive from Alleppey to Cochin (65 km, 1.5 hrs)","Drive","4","Generic Supplier","","5794","Drive","NO","","","","","13","Per Unit Per Day","6","Season 01","Jan  1 2017 12:00:00:000AM","Dec 31 2020 12:00:00:000AM","12122","Pro-Alleppey Drive (1st Jan 2017-31st Dec 2020)","12208","Pro-Alleppey Drive (1st Jan 2017-31st Dec 2020)","Jan  1 2017 12:00:00:000AM","Dec 31 2020 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","1","4","2475","29.0017","3486",
"Alleppey","1896","Drive from Alleppey to Cochin (65 km, 1.5 hrs)","Drive","4","Generic Supplier","","5794","Drive","NO","","","","","13","Per Unit Per Day","6","Season 01","Jan  1 2017 12:00:00:000AM","Dec 31 2020 12:00:00:000AM","12122","Pro-Alleppey Drive (1st Jan 2017-31st Dec 2020)","12208","Pro-Alleppey Drive (1st Jan 2017-31st Dec 2020)","Jan  1 2017 12:00:00:000AM","Dec 31 2020 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","5","9","3190","29.0006","4493",
"Alleppey","3362","HD-Houseboat Tour","Activity","220","Pioneer","","8043","Private/Special Activity","NO","","","","","13","Per Unit Per Day","6","Season 01","Apr  1 2014 12:00:00:000AM","Sep 30 2014 12:00:00:000AM","21680","HD Houseboat Act (1st Apr 14 - 31st Mar 15)","21801","HD Houseboat Act (1st Apr 14 - 31st Mar 15)","Apr  1 2014 12:00:00:000AM","Mar 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","1","2","8000","29.0024","11268",
"Alleppey","3362","HD-Houseboat Tour","Activity","220","Pioneer","","8043","Private/Special Activity","NO","","","","","13","Per Unit Per Day","6","Season 01","Apr  1 2015 12:00:00:000AM","Sep 30 2015 12:00:00:000AM","21681","Pro-HD Houseboat Act (1st Apr 15 - 31st Mar 17)","21802","Pro-HD Houseboat Act (1st Apr 15 - 31st Mar 17)","Apr  1 2015 12:00:00:000AM","Mar 31 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","1","2","8800","29.0036","12395",
