REGIONNAME,SERVICEID,SERVICELONGNAME,SERVICETYPENAME,SUPPLIERID,SUPPLIERNAME,MEALPLANNAME,OPTIONID,OPTIONNAME,IS_DEFAULT,EXTRAID,EXTRANAME,OCCUPANCYTYPEID,OCCUPANCYTYPENAME,CHARGINGPOLICYID,CHARGINGPOLICYNAME,SEASONTYPEID,SEASONTYPENAME,SEASONSTARTDATE,SEASONENDDATE,ORGANISATIONSUPPLIERCONTRACTID,ORGANISATIONSUPPLIERCONTRACTNAME,CONTRACTDURATIONID,CONTRACTDURATIONNAME,CONTRACTDURATIONSTARTDATE,CONTRACTDURATIONENDDATE,CURRENCYISOCODE,WEEKDAYPRICES_EXISTS,PRICEDAYMONDAY,PRICEDAYTUESDAY,PRICEDAYWEDNESDAY,PRICEDAYTHURSDAY,PRICEDAYFRIDAY,PRICEDAYSATURDAY,PRICEDAYSUNDAY,BUYPRICE,MARGIN,SELLING
Agra,1210,ITC Mughal - edit,Accommodation,6,ITC Mughal,,,,,405,Mandatory Christmas Supplement (Dec 24th & 25th),,,12,Per Person Per Day,6,Season 01,Oct  1 2014 12:00:00:000AM,Mar 31 2015 12:00:00:000AM,24278,ITC Mughal (1 Oct 2014 - 30 Sep 2015),24409,ITC Mughal (1 Oct 2014- 30 Sep 2015),Oct  1 2014 12:00:00:000AM,Sep 30 2015 12:00:00:000AM,INR,NO,1,1,1,1,1,1,1,4497,29.0022,6334
Agra,1210,ITC Mughal - edit,Accommodation,6,ITC Mughal,,,,,405,Mandatory Christmas Supplement (Dec 24th & 25th),,,12,Per Person Per Day,6,Season 01,Oct  1 2015 12:00:00:000AM,Mar 31 2016 12:00:00:000AM,32457,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),32636,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),Oct  1 2015 12:00:00:000AM,Sep 30 2017 12:00:00:000AM,INR,NO,1,1,1,1,1,1,1,4812,29.0056,6778
Agra,1210,ITC Mughal - edit,Accommodation,6,ITC Mughal,,,,,405,Mandatory Christmas Supplement (Dec 24th & 25th),,,12,Per Person Per Day,6,Season 01,Oct  1 2016 12:00:00:000AM,Mar 31 2017 12:00:00:000AM,32457,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),32636,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),Oct  1 2015 12:00:00:000AM,Sep 30 2017 12:00:00:000AM,INR,NO,1,1,1,1,1,1,1,4812,29.0056,6778
Agra,1210,ITC Mughal - edit,Accommodation,6,ITC Mughal,,,,,406,Mandatory New Year Supplement (Dec 31st),,,12,Per Person Per Day,6,Season 01,Oct  1 2014 12:00:00:000AM,Mar 31 2015 12:00:00:000AM,24278,ITC Mughal (1 Oct 2014 - 30 Sep 2015),24409,ITC Mughal (1 Oct 2014- 30 Sep 2015),Oct  1 2014 12:00:00:000AM,Sep 30 2015 12:00:00:000AM,INR,NO,1,1,1,1,1,1,1,6746,29.0044,9502
Agra,1210,ITC Mughal - edit,Accommodation,6,ITC Mughal,,,,,406,Mandatory New Year Supplement (Dec 31st),,,12,Per Person Per Day,6,Season 01,Oct  1 2015 12:00:00:000AM,Mar 31 2016 12:00:00:000AM,32457,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),32636,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),Oct  1 2015 12:00:00:000AM,Sep 30 2017 12:00:00:000AM,INR,NO,1,1,1,1,1,1,1,7219,29.0027,10168
Agra,1210,ITC Mughal - edit,Accommodation,6,ITC Mughal,,,,,406,Mandatory New Year Supplement (Dec 31st),,,12,Per Person Per Day,6,Season 01,Oct  1 2016 12:00:00:000AM,Mar 31 2017 12:00:00:000AM,32457,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),32636,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),Oct  1 2015 12:00:00:000AM,Sep 30 2017 12:00:00:000AM,INR,NO,1,1,1,1,1,1,1,7219,29.0027,10168
Agra,1210,ITC Mughal - edit,Accommodation,6,ITC Mughal,Breakfast,,,,404,Extra bed 1,,,10,*Per Room Per Night,6,Season 01,Oct  1 2014 12:00:00:000AM,Mar 31 2015 12:00:00:000AM,24278,ITC Mughal (1 Oct 2014 - 30 Sep 2015),24409,ITC Mughal (1 Oct 2014- 30 Sep 2015),Oct  1 2014 12:00:00:000AM,Sep 30 2015 12:00:00:000AM,INR,NO,1,1,1,1,1,1,1,2000,29.0024,2817
Agra,1210,ITC Mughal - edit,Accommodation,6,ITC Mughal,Breakfast,,,,404,Extra bed 1,,,10,*Per Room Per Night,6,Season 01,Oct  1 2015 12:00:00:000AM,Mar 31 2016 12:00:00:000AM,32457,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),32636,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),Oct  1 2015 12:00:00:000AM,Sep 30 2017 12:00:00:000AM,INR,NO,1,1,1,1,1,1,1,2140,29.0215,3015
Agra,1210,ITC Mughal - edit,Accommodation,6,ITC Mughal,Breakfast,,,,404,Extra bed 1,,,10,*Per Room Per Night,6,Season 01,Oct  1 2016 12:00:00:000AM,Mar 31 2017 12:00:00:000AM,32457,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),32636,Pro-ITC Mughal (1 Oct 2015-30 Sep 2017),Oct  1 2015 12:00:00:000AM,Sep 30 2017 12:00:00:000AM,INR,NO,1,1,1,1,1,1,1,2140,29.0215,3015
Agra,1210,ITC Mughal - edit,Accommodation,6,ITC Mughal,Breakfast,,,,404,Extra bed 1,,,10,*Per Room Per Night,7,Season 02,Apr  1 2015 12:00:00:000AM,Sep 30 2015 12:00:00:000AM,24278,ITC Mughal (1 Oct 2014 - 30 Sep 2015),24409,ITC Mughal (1 Oct 2014- 30 Sep 2015),Oct  1 2014 12:00:00:000AM,Sep 30 2015 12:00:00:000AM,INR,NO,1,1,1,1,1,1,1,2000,29.0024,2817
