"id","ts_currency_id","currency_name","currency_iso_code","currency_symbol","created_at","updated_at"
"1","3","American Dollar","USD","$","2015-08-13 17:44:12","2015-08-13 17:44:12"
"2","8","Argentinean Pesos","ARS","AR$","2015-08-13 17:44:12","2015-08-13 17:44:12"
"3","5","Australian Dollar","AUD","AUD","2015-08-13 17:44:12","2015-08-13 17:44:12"
"4","12","Brazilian","BRL","R$","2015-08-13 17:44:12","2015-08-13 17:44:12"
"5","13","Canadian Dollar","CAD","C$","2015-08-13 17:44:12","2015-08-13 17:44:12"
"6","4","Euro","EUR","€","2015-08-13 17:44:12","2015-08-13 17:44:12"
"7","2","Great British Pound","GBP","£","2015-08-13 17:44:12","2015-08-13 17:44:12"
"8","1","Indian Rupee","INR","₹","2015-08-13 17:44:12","2015-08-13 17:44:12"
"9","15","Kenya Shilling","KES","KSh","2015-08-13 17:44:12","2015-08-13 17:44:12"
"10","19","Mozambican Meticals","MZN","MT","2015-08-13 17:44:12","2015-08-13 17:44:12"
"11","16","Namibian Dollar","NAD","N$","2015-08-13 17:44:12","2015-08-13 17:44:12"
"12","18","New Zealand Dollar","NZD","NZ$","2015-08-13 17:44:12","2015-08-13 17:44:12"
"13","14","South African Rand","ZAR","R","2015-08-13 17:44:12","2015-08-13 17:44:12"
"14","11","Sri Lanka Rupee","LKR","LKR","2015-08-13 17:44:12","2015-08-13 17:44:12"
"15","10","Thai Baht","THB","THB","2015-08-13 17:44:12","2015-08-13 17:44:12"
"16","17","Zambian Kwacha","ZMK","ZK","2015-08-13 17:44:12","2015-08-13 17:44:12"
