"Service Currency","Guest Currency","Exchange Rate in TS"
"ARS","EUR",0.0706
"ARS","USD",0.0772
"ARS","GBP",0.0522
"ARS","AUD",0.1069
"AUD","USD",0.75188
"AUD","INR",47.619
"AUD","ZAR",10.52632
"AUD","THB",26.315789
"AUD","ARS",9.354537
"AUD","NAD",10.526316
"CAD","INR",47.84689
"CAD","USD",0.757576
"CAD","EUR",0.6711
"CAD","ZAR","#N/A"
"CAD","THB",26.666667
"EUR","CAD",1.49
"EUR","USD",1.09
"EUR","INR",69.979
"EUR","ZAR",15.3846
"EUR","THB",38.4615
"EUR","ARS",14.164306
"EUR","NAD",15.384615
"GBP","USD",1.431639
"GBP","INR",96.1538
"GBP","ZAR",20.8333
"GBP","THB",50.505051
"GBP","ARS",19.157088
"GBP","NAD",20.83333
"INR","EUR",0.01429
"INR","USD",0.017
"INR","GBP",0.0104
"INR","AUD",0.021
"INR","CAD",0.0209
"KES","USD",0.01
"NAD","EUR",0.065
"NAD","USD",0.075
"NAD","GBP",0.048
"NAD","AUD",0.095
"THB","EUR",0.026
"THB","USD",0.0295
"THB","GBP",0.0198
"THB","AUD",0.038
"THB","CAD",0.0375
"USD","EUR",0.9174
"USD","GBP",0.6985
"USD","AUD",1.33
"USD","CAD",1.32
"USD","INR",61.9009
"USD","ZAR",13.33333
"USD","THB",33.8983
"USD","ARS",12.953368
"USD","NAD",13.33333
"USD","KES",100
"ZAR","EUR",0.065
"ZAR","USD",0.075
"ZAR","GBP",0.048
"ZAR","AUD",0.095
"ZAR","CAD",0.0937
