Service Currency,Guest Currency,Exchange Rate in TS
ARS,AUD,0.10000
ARS,CAD,0.13810
ARS,EUR,0.06500
ARS,GBP,0.05220
ARS,USD,0.07720
AUD,ARS,10.00000
AUD,BRL,2.07030
AUD,CAD,0.94590
AUD,EUR,0.67568
AUD,GBP,0.66050
AUD,INR,46.08295
AUD,LKR,129.22940
AUD,NAD,10.26694
AUD,THB,25.00000
AUD,USD,0.71429
AUD,ZAR,10.26694
BRL,AUD,0.48300
BRL,EUR,0.38650
BRL,GBP,0.31080
BRL,USD,0.48490
CAD,AUD,1.05710
CAD,EUR,0.67110
CAD,GBP,0.49340
CAD,INR,47.84689
CAD,KES,77.82101
CAD,NAD,10.68060
CAD,THB,26.10966
CAD,USD,0.74074
CAD,ZAR,10.20408
CLP,EUR,0.00147
CLP,GBP,0.00130
CLP,USD,0.00210
EUR,ARS,15.38462
EUR,AUD,1.40510
EUR,BRL,2.58740
EUR,CAD,1.49000
EUR,CLP,680.00000
EUR,GBP,0.79080
EUR,INR,68.49320
EUR,KES,121.95122
EUR,LKR,164.54750
EUR,NAD,14.90313
EUR,NZD,1.56960
EUR,THB,37.03700
EUR,USD,1.06720
EUR,ZAR,14.90310
GBP,ARS,19.15709
GBP,AUD,1.51390
GBP,BRL,3.21740
GBP,CAD,2.02660
GBP,EUR,1.14943
GBP,INR,86.95652
GBP,KES,147.05882
GBP,LKR,205.90570
GBP,NAD,17.36111
GBP,THB,45.24887
GBP,USD,1.29870
GBP,ZAR,17.36111
INR,AUD,0.02170
INR,CAD,0.02090
INR,EUR,0.01460
INR,GBP,0.01150
INR,LKR,2.35240
INR,USD,0.01700
KES,AUD,0.01271
KES,CAD,0.01221
KES,EUR,0.00893
KES,GBP,0.00714
KES,USD,0.01000
KES,ZAR,0.12750
LKR,AUD,0.00780
LKR,EUR,0.00610
LKR,GBP,0.00490
LKR,INR,0.42510
LKR,THB,0.24100
LKR,USD,0.00760
NAD,AUD,0.09740
NAD,CAD,0.09360
NAD,EUR,0.06710
NAD,GBP,0.05760
NAD,USD,0.07500
NZD,USD,0.83480
THB,AUD,0.04000
THB,CAD,0.03830
THB,EUR,0.02700
THB,GBP,0.02210
THB,INR,1.72860
THB,LKR,4.14990
THB,USD,0.02950
USD,ARS,12.95337
USD,AUD,1.40000
USD,BRL,2.06240
USD,CAD,1.35000
USD,CLP,475.00000
USD,EUR,0.93700
USD,GBP,0.77000
USD,INR,61.90090
USD,KES,100.00000
USD,LKR,132.05000
USD,NAD,13.33333
USD,NZD,1.19790
USD,THB,33.89830
USD,ZAR,13.33333
ZAR,AUD,0.09740
ZAR,CAD,0.09800
ZAR,EUR,0.06710
ZAR,GBP,0.05760
ZAR,USD,0.07500
