"Destination","Service Type","Service ID","Country","Region","Service Name","Service Short Name"
"Africa","Accommodation",18338,"Kenya","Amboseli","Tortilis Camp",
"Africa","Accommodation",18340,"Kenya","Amboseli","Satao Elerai",
"Africa","Accommodation",18343,"Tanzania","Arusha","Olasiti Lodge",
"Africa","Accommodation",18346,"Tanzania","Arusha","Onsea House",
"Africa","Accommodation",18348,"Tanzania","Arusha","Rivertrees Country Inn",
"Africa","Accommodation",18352,"Tanzania","Arusha","Legendary Lodge",
"Africa","Accommodation",18355,"Tanzania","Arusha","The African Tulip",
"Africa","Accommodation",18370,"Kenya","Chyulu Hills","Ol Donyo Lodge",
"Africa","Accommodation",18377,"Kenya","Kenyan Coast","Serena Beach Resort & Spa",
"Africa","Accommodation",18387,"Kenya","Kenyan Coast","Diani Blue",
"Africa","Accommodation",18388,"Kenya","Amboseli","Ol Tukai Lodge",
"Africa","Accommodation",18400,"Kenya","Chyulu Hills","Campi ya Kanzi",
"Africa","Accommodation",18407,"Kenya","Kenyan Coast","Kilili Baharini Resort",
"Africa","Accommodation",18411,"Kenya","Kenyan Coast","Pinewood Resort",
"Africa","Accommodation",18412,"Kenya","Kenyan Coast","Msambweni House",
"Africa","Accommodation",18414,"Kenya","Kenyan Coast","Che Shale",
"Africa","Accommodation",18415,"Kenya","Kenyan Coast","Waterlovers",
"Africa","Accommodation",18419,"Kenya","Kisumu","Kiboko Bay",
"Africa","Accommodation",18421,"Kenya","Laikipia","Sabuk Lodge",
"Africa","Accommodation",18424,"Kenya","Laikipia","Il Ngwesi",
"Africa","Accommodation",18426,"Kenya","Laikipia","Tassia Lodge",
"Africa","Accommodation",18429,"Kenya","Laikipia","Lewa Wilderness",
"Africa","Accommodation",18430,"Kenya","Laikipia","Kicheche Camp Laikipia",
"Africa","Accommodation",18450,"Tanzania","Bagamoyo","Lazy Lagoon Island Lodge",
"Africa","Accommodation",18453,"Tanzania","Gombe Stream","Gombe Forest Lodge",
"Africa","Accommodation",18456,"Tanzania","Katavi","Chada Katavi Camp",
"Africa","Accommodation",18457,"Tanzania","Katavi","Katavi Wildlife Camp",
"Africa","Accommodation",18458,"Tanzania","Katavi","Katuma Bush Lodge",
"Africa","Accommodation",18459,"Tanzania","Kigoma","Kigoma Hilltop Hotel",
"Africa","Accommodation",18465,"Tanzania","Lake Natron","Lake Natron Camp",
"Africa","Accommodation",18468,"Tanzania","Mafia Island","Kinasi Lodge",
"Africa","Accommodation",18469,"Tanzania","Mafia Island","Pole Pole Resort",
"Africa","Accommodation",18497,"Kenya","Lakes Baringo & Bogoria","Lake Bogoria Spa Resort",
"Africa","Accommodation",18500,"Kenya","Lakes Nakuru & Elementaita","Flamingo Hill Tented Camp",
"Africa","Accommodation",18504,"Kenya","Lakes Nakuru & Elementaita","Sleeping Warrior Camp",
"Africa","Accommodation",18505,"Kenya","Lake Victoria","Mfangano Island",
"Africa","Accommodation",18508,"Kenya","Lamu","Baytil Ajaib",
"Africa","Accommodation",18516,"Kenya","Lamu","Kizingo",
"Africa","Accommodation",18521,"Kenya","Lamu","Manda Dream",
"Africa","Accommodation",18537,"Tanzania","Arusha","Arusha Coffee Lodge",
"Africa","Accommodation",18541,"Tanzania","Dar es Salaam","Dar es Salaam Serena Hotel",
"Africa","Accommodation",18549,"Tanzania","Lake Eyasi","Kisima Ngeda",
"Africa","Accommodation",18554,"Tanzania","Rubondo Island","Rubondo Island Camp",
"Africa","Accommodation",18608,"Kenya","Samburu","Kitich Camp",
"Africa","Accommodation",18616,"Kenya","Masai Mara","Naboisho Camp",
"Africa","Accommodation",18626,"Kenya","Samburu","Elephant Bedroom Camp",
"Africa","Accommodation",18632,"Kenya","Samburu","Joys Camp",
"Africa","Accommodation",18638,"Rwanda","Volcanos","Sabyinyo Silverback Lodge",
"Africa","Accommodation",18642,"Tanzania","Ruaha","Ruaha River Lodge",
"Africa","Accommodation",18647,"Tanzania","Selous","Lake Manze Camp",
"Africa","Accommodation",18648,"Tanzania","Selous","Sand Rivers Selous",
"Africa","Accommodation",18653,"Tanzania","Manyara & Ngorongoro","Plantation Lodge",
"Africa","Accommodation",18654,"Tanzania","Selous","Selous Impala Camp",
"Africa","Accommodation",18657,"Tanzania","Zanzibar","Breezes Beach Club & Spa",
"Africa","Accommodation",18658,"Tanzania","Serengeti (Central)","Serengeti Wilderness Camp",
"Africa","Accommodation",18659,"Tanzania","Serengeti (Central)","Mbuzi Mawe",
"Africa","Accommodation",18660,"Tanzania","Stone Town","Zanzibar Palace Hotel",
"Africa","Accommodation",18662,"Tanzania","Serengeti (Central)","Kirawira Camp",
"Africa","Accommodation",18665,"Tanzania","Serengeti (Central)","Serengeti Safari Camp C",
"Africa","Accommodation",18668,"Tanzania","Serengeti (Northern)","Sayari Camp",
"Africa","Accommodation",18686,"Namibia","Etosha - Anderson Gate","Ongava Lodge",
"Africa","Accommodation",18687,"Namibia","Etosha - Anderson Gate","Ongava Tented Camp",
"Africa","Accommodation",18688,"Namibia","Etosha - Anderson Gate","Anderssons Camp",
"Africa","Accommodation",18692,"Rwanda","Lake Kivu - Gisenyi","Lake Kivu Serena Hotel",
"Africa","Accommodation",18695,"Tanzania","Mahale","Greystoke",
"Africa","Accommodation",18696,"Tanzania","Mahale","Kungwe Beach lodge",
"Africa","Accommodation",18709,"Tanzania","Serengeti (Southern)","Olakira Camp S",
"Africa","Accommodation",18713,"Tanzania","Serengeti (Northern)","Bologonja Under Canvas",
"Africa","Accommodation",18718,"Tanzania","Serengeti (Northern)","Serengeti North Wilderness Camp",
"Africa","Accommodation",18721,"Tanzania","Serengeti (Northern)","Ubuntu Camp N",
"Africa","Accommodation",18723,"Tanzania","Serengeti (Northern)","Lamai Serengeti Main Camp",
"Africa","Accommodation",18725,"Tanzania","Serengeti (Northern)","Lamai Serengeti Private Camp",
"Africa","Accommodation",18726,"Tanzania","Serengeti (Northern)","Serengeti Bushtops Luxury Tented Camp",
"Africa","Accommodation",18735,"Uganda","Bwindi","Clouds Mountain Gorilla",
"Africa","Accommodation",18736,"Tanzania","Serengeti (Southern)","Ndutu Wilderness Tented Camp",
"Africa","Accommodation",18737,"Tanzania","Serengeti (Southern)","Lake Masek Tented Camp",
"Africa","Accommodation",18740,"Tanzania","Serengeti (Central)","Dunia Camp",
"Africa","Accommodation",18741,"Uganda","Bwindi","Mantana Engagi Lodge Bwindi",
"Africa","Accommodation",18742,"Tanzania","Serengeti (Southern)","Ubuntu Camp S",
"Africa","Accommodation",18745,"Tanzania","Serengeti (Western)","Ubuntu Camp W",
"Africa","Accommodation",18747,"Tanzania","Serengeti (Southern)","Masek Under Canvas",
"Africa","Accommodation",18748,"Uganda","Bwindi","Buhoma Community Camp",
"Africa","Accommodation",18749,"Tanzania","Serengeti (Southern)","Ndutu Under Canvas",
"Africa","Accommodation",18750,"Tanzania","Serengeti (Western)","Serengeti Safari Camp W",
"Africa","Accommodation",18752,"Tanzania","Songo Songo Archipelago","Fanjove Island Lodge",
"Africa","Accommodation",18756,"Tanzania","Tarangire","Maramboi Tented Camp",
"Africa","Accommodation",18757,"Tanzania","Tarangire","Oliver's Camp",
"Africa","Accommodation",18758,"Uganda","Entebbe","Entebbe Airport Guest House",
"Africa","Accommodation",18760,"Uganda","Entebbe","The Boma Guest House",
"Africa","Accommodation",18761,"Tanzania","Tarangire","Little Oliver's Camp",
"Africa","Accommodation",18765,"Tanzania","Tarangire","Tarangire Ndovu Camp (Formerly Nasikia Njiwa Camp)",
"Africa","Accommodation",18767,"Uganda","Jinja & Nile","The Haven River Lodge",
"Africa","Accommodation",18772,"Tanzania","Serengeti (Northern)","Serengeti Safari Camp N",
"Africa","Accommodation",18773,"Tanzania","Serengeti (Northern)","Kleins Camp",
"Africa","Accommodation",18774,"Tanzania","Serengeti (Northern)","Olakira Camp N",
"Africa","Accommodation",18775,"Uganda","Kampala","Le Bougainviller",
"Africa","Accommodation",18776,"Uganda","Kampala","Emin Pasha",
"Africa","Accommodation",18777,"Tanzania","West Kilimanjaro","Kambi ya Tembo",
